"name","birth_place","death_place","gender","citizenship","occupation_str","birth_year","death_year"
"Gerhard von Graevenitz","Schilde","Switzerland","male","Germany","photographer,painter","1934","1983"
"Karl Schmidt-Rottluff","Rottluff","West Berlin","male","Germany","illustrator,Q686932,painter,sculptor,university teacher,graphic artist,designer,art collector,drawer,lithographer","1884","1976"
"LeRoy Neiman","Saint Paul","New York City","male","United States of America","actor,painter","1921","2012"
"JCJ Vanderheyden","'s-Hertogenbosch","'s-Hertogenbosch","male","Kingdom of the Netherlands","photographer,painter,sculptor,filmmaker,university teacher,graphic artist,film director,visual artist,conceptual artist","1928","2012"
"Alexander Calder","Philadelphia","New York City","male","United States of America","photographer,illustrator,painter,sculptor,jewelry designer,designer,printmaker,manufacturer,drawer","1898","1976"
"Alexander Rodchenko","Saint Petersburg","Moscow","male","Soviet Union","photographer,architect,graphic designer,painter,typographer,sculptor,graphic artist,visual artist,designer","1891","1956"
"Alexej von Jawlensky","Torzhok","Wiesbaden","male","Germany","painter,art collector,printmaker,drawer","1864","1941"
"Anni Albers","Berlin","Orange","female","United States of America","author,painter,university teacher,jewelry designer,designer,textile designer,textile artist,lithographer","1899","1994"
"Anthony Caro","Surrey","London","male","United Kingdom","sculptor,visual artist","1924","2013"
"Beauford Delaney","Knoxville","14th arrondissement of Paris","male","United States of America","painter","1901","1979"
"Clyfford Still","Grandin","Baltimore","male","United States of America","painter,printmaker","1904","1980"
"Constantin Brâncu?i","Hobi?a","Paris","male","France","photographer,illustrator,painter,sculptor,architectural draftsperson,assemblage artist","1876","1957"
"David Smith","Decatur","Bennington","male","United States of America","photographer,writer,artist,painter,sculptor,visual artist,designer","1906","1965"
"Eduardo Chillida","San Sebastián","San Sebastián","male","Spain","illustrator,association football player,sculptor,graphic artist,visual artist,drawer","1924","2002"
"Francis Picabia","Paris","Paris","male","France","screenwriter,writer,poet,painter,sculptor,drawer","1879","1953"
"Franz Marc","Munich","Verdun","male","German Empire","illustrator,painter,graphic artist,visual artist,printmaker","1880","1916"
"Giacomo Balla","Turin","Rome","male","Italy","composer,teacher,artist,painter,sculptor,ceramicist,drawer","1871","1958"
"Hans Richter","Berlin","Dubno","male","German Reich","writer,jurist,opinion journalist,administrative lawyer","1889","1941"
"Henri Matisse","Le Cateau-Cambrésis","Nice","male","France","painter,sculptor,ceramicist,printmaker,drawer,lithographer","1869","1954"
"Henry Moore","Castleford","Much Hadham","male","United Kingdom","artist,illustrator,sculptor,graphic artist,visual artist,bandmaster,printmaker,architectural draftsperson,watercolorist","1898","1986"
"Hilma af Klint","Solna","Danderyd","female","Sweden","artist,female painter","1862","1944"
"Jean Arp","Strasbourg","Basel","male","France","photographer,writer,poet,painter,sculptor,jewelry designer,designer,drawer","1886","1966"
"Johannes Itten","Wachseldorn","Zurich","male","Switzerland","photographer,writer,architect,painter,graphic artist,drawer","1888","1967"
"Josef Albers","Bottrop","New Haven","male","United States of America","photographer,educator,painter,sculptor,university teacher,glass artist,designer,printmaker","1888","1976"
"Lee Krasner","Brooklyn","New York City","female","United States of America","artist,illustrator,painter,printmaker","1908","1984"
"Man Ray","Philadelphia","6th arrondissement of Paris","male","United States of America","screenwriter,photographer,actor,cinematographer,painter,sculptor,filmmaker,jewelry designer,film director,designer,film editor,printmaker,autobiographer,collagist,assemblage artist","1890","1976"
"Mark Rothko","Daugavpils","Manhattan","male","United States of America","painter,university teacher,drawer","1903","1970"
"Mathias Goeritz","Gdañsk","Mexico City","male","Mexico","writer,architect,painter,sculptor","1915","1990"
"Otto Freundlich","S³upsk","Lublin-Majdanek concentration camp","male","Germany","painter,sculptor,graphic artist,visual artist,drawer","1878","1943"
"Paul Klee","Münchenbuchsee","Muralto","male","Switzerland","painter,university teacher,graphic artist,visual artist,designer,printmaker,architectural draftsperson,drawer,lithographer","1879","1940"
"Paul Nash","Kensington","Boscombe","male","United Kingdom","photographer,artist,illustrator,painter,designer,printmaker","1889","1946"
